"id","address_country","address_locality","address_region","postal_code","street_address","formatted_address","latitude","longitude","zoom","parish_id","name"
787,"fr","SAINT CHAMAS",,"13250","8 rue émile Fabre",,43.5495248,5.0360358,15,409,"Donnée importée de MesseInfo."
788,"FR","Saint-Chamas",,"13250","8 Rue Emile Fabre","8, Rue Emile Fabre, 13250 Saint-Chamas, France",43.5495248,5.0360358,,409,"Donnée de MesseInfo traitée par Google Maps."
789,"fr","PORT DE BOUC",,"13110","",,43.4279284,4.9922474,11,410,"Donnée importée de MesseInfo."
790,"FR","Port-de-Bouc",,"13110"," ",", , 13110 Port-de-Bouc, France",43.4279284,4.9922474,,410,"Donnée de MesseInfo traitée par Google Maps."
791,"fr","PUYRICARD",,"13540","35 avenue de la Touloubre",,43.582261,5.4213214,15,411,"Donnée importée de MesseInfo."
792,"FR","Aix-en-Provence",,"13540","35 Avenue de la Touloubre","35, Avenue de la Touloubre, 13540 Aix-en-Provence, France",43.582261,5.4213214,,411,"Donnée de MesseInfo traitée par Google Maps."
793,"fr","AIX EN PROVENCE",,"13090","5 bd des 2 Ormes, le Jas de Bouffan",,43.5388336,5.4044268,10,412,"Donnée importée de MesseInfo."
794,"fr","AIX EN PROVENCE",,"13100","24 rue d'Italie",,43.5256816,5.4534536,15,413,"Donnée importée de MesseInfo."
795,"FR","Aix-en-Provence",,"13100","24 Rue d'Italie","24, Rue d'Italie, 13100 Aix-en-Provence, France",43.5256694,5.4533844,,413,"Donnée de MesseInfo traitée par Google Maps."
796,"fr","AIX EN PROVENCE",,"13100","27 avenue de l'Europe",,43.5238248,5.4348774,15,414,"Donnée importée de MesseInfo."
797,"FR","Aix-en-Provence",,"13100","27 Avenue de l'Europe","27, Avenue de l'Europe, 13100 Aix-en-Provence, France",43.5239632,5.4335191,,414,"Donnée de MesseInfo traitée par Google Maps."
798,"fr","SEPTEMES LES VALLONS",,"13240","",,43.3907153,5.38872,10,415,"Donnée importée de MesseInfo."
799,"FR","Septèmes-les-Vallons",,"13240"," ",", , 13240 Septèmes-les-Vallons, France",43.3907153,5.38872,,415,"Donnée de MesseInfo traitée par Google Maps."
800,"fr","Simiane Collongues",,"13109","6 route de Mimet",,43.4291806,5.4385243,15,416,"Donnée importée de MesseInfo."
801,"FR","Simiane-Collongue",,"13109","6 Route de Mimet","6, Route de Mimet, 13109 Simiane-Collongue, France",43.4291806,5.4385243,,416,"Donnée de MesseInfo traitée par Google Maps."
802,"fr","GARDANNE",,"13120","3 bd Bontemps",,43.453692,5.4682528,15,417,"Donnée importée de MesseInfo."
803,"FR","Gardanne",,"13120","3 Boulevard Bontemps","3, Boulevard Bontemps, 13120 Gardanne, France",43.453692,5.4682528,,417,"Donnée de MesseInfo traitée par Google Maps."
